wals.code	obligatory.possession	OP.source	OP.pages	OP.comments	affix.position	AP.source	AP.pages	AP.comments	GN.order	GN.source	GN.pages	GN.comments	glottocode	name	latitude	longitude	macroarea	genus	family	sample.100	sample.200	NAME	
goo	Absent				Possessive suffixes				No dominant order				goon1238	Gooniyandi	-18,3	126,3	Australia	Bunuban	Bunuban	TRUE	TRUE		
bur	Exists				Possessive prefixes				Genitive-Noun				buru1296	Burushaski	36,5	74,5	Eurasia	Burushaski	Burushaski	TRUE	TRUE		
pwn	Exists				Possessive prefixes				Genitive-Noun				pawn1254	Pawnee	41,0	-98,7	North America	Caddoan	Caddoan	FALSE	FALSE		
yaq	Absent				No possessive affixes				Genitive-Noun				yaqu1251	Yaqui	27,5	-110,3	North America	Cahita	Uto-Aztecan	TRUE	TRUE		
hix	Exists				Possessive prefixes				Genitive-Noun				hixk1239	Hixkaryana	-1,0	-59,0	South America	Cariban	Cariban	TRUE	TRUE		
cyv	Absent				Prefixes and suffixes				Noun-Genitive				cayu1262	Cayuvava	-13,5	-65,5	South America	Cayuvava	Cayuvava	FALSE	TRUE		
tuk	Absent				No possessive affixes				Noun-Genitive				tuka1247	Tukang Besi	-5,5	123,5	Papunesia	Celebic	Austronesian	TRUE	TRUE		
squ	Absent				Prefixes and suffixes				Noun-Genitive				squa1248	Squamish	49,7	-123,2	North America	Central Salish	Salishan	FALSE	TRUE		
cha	Absent				Possessive suffixes				Noun-Genitive				cham1312	Chamorro	13,5	144,8	Papunesia	Chamorro	Austronesian	TRUE	TRUE		
war	Absent				Possessive suffixes				Noun-Genitive				wari1268	Wari'	-11,3	-65,0	South America	Chapacura-Wanham	Chapacura-Wanham	TRUE	TRUE		
qui	Exists				Possessive suffixes				Noun-Genitive				quil1240	Quileute	47,9	-124,3	North America	Chimakuan	Chimakuan	FALSE	FALSE		
chi	Absent				Prefixes and suffixes				Genitive-Noun				chim1301	Chimariko	41,0	-123,0	North America	Chimariko	Hokan	FALSE	FALSE		
mnd	Absent				No possessive affixes				Genitive-Noun				mand1415	Mandarin	34,0	110,0	Eurasia	Chinese	Sino-Tibetan	TRUE	TRUE		
epe	Exists				No possessive affixes				Genitive-Noun				epen1239	Epena Pedee	3,0	-77,0	South America	Choco	Choco	FALSE	TRUE		
lkt	Absent				Possessive prefixes				No dominant order				lako1247	Lakhota	43,8	-101,8	North America	Core Siouan	Siouan	TRUE	TRUE		
dag	Absent				Possessive suffixes				Genitive-Noun				daga1275	Daga	-10,0	149,3	Papunesia	Dagan	Dagan	TRUE	TRUE		
dni	Exists				Possessive prefixes				Genitive-Noun				lowe1415	Dani (Lower Grand Valley)	-4,3	138,8	Papunesia	Dani	Trans-New Guinea	TRUE	TRUE		
yor	Absent				No possessive affixes				Noun-Genitive				yoru1245	Yoruba	8,0	4,3	Africa	Defoid	Niger-Congo	TRUE	TRUE		
mot	Absent				Possessive prefixes				Genitive-Noun				siwa1245	Motuna	-6,6	155,4	Papunesia	East Bougainville	East Bougainville	FALSE	FALSE		
kew	Absent				No possessive affixes				Genitive-Noun				kewa1250	Kewa	-6,5	143,8	Papunesia	Engan	Trans-New Guinea	TRUE	TRUE		
grw	Absent				Possessive suffixes				Genitive-Noun				kala1399	Greenlandic (West)	64,0	-51,0	Eurasia	Eskimo	Eskimo-Aleut	TRUE	TRUE		
fin	Absent				Possessive suffixes				Genitive-Noun				finn1318	Finnish	62,0	25,0	Eurasia	Finnic	Uralic	TRUE	TRUE		
fur	Absent				No possessive affixes				Genitive-Noun				furr1244	Fur	13,5	25,0	Africa	Fur	Fur	FALSE	TRUE		
grr	Absent				No possessive affixes				Genitive-Noun				gara1269	Garrwa	-17,1	137,2	Australia	Garrwan	Garrwan	FALSE	FALSE		
gbb	Absent				Possessive suffixes				Noun-Genitive				gbay1287	Gbeya Bossangoa	6,7	17,5	Africa	Gbaya-Manza-Ngbaka	Niger-Congo	FALSE	FALSE		
cnl	Exists				Possessive prefixes				Genitive-Noun				cane1242	Canela	-7,0	-45,0	South America	Ge-Kaingang	Macro-Ge	FALSE	FALSE		
eng	Absent				No possessive affixes				No dominant order				stan1293	English	52,0	0,0	Eurasia	Germanic	Indo-European	TRUE	TRUE		
ger	Absent				No possessive affixes				Noun-Genitive				stan1295	German	52,0	10,0	Eurasia	Germanic	Indo-European	TRUE	TRUE		
grk	Absent				No possessive affixes				Noun-Genitive				mode1248	Greek (Modern)	39,0	22,0	Eurasia	Greek	Indo-European	TRUE	TRUE		
gmz	Absent				Possessive suffixes				Noun-Genitive				gumu1244	Gumuz	12,5	35,8	Africa	Gumuz	Gumuz	FALSE	FALSE		
hai	Exists				No possessive affixes				Genitive-Noun				haid1248	Haida	53,0	-132,0	North America	Haida	Haida	FALSE	TRUE		
hat	Exists				Possessive prefixes				Genitive-Noun				hata1243	Hatam	-1,0	134,0	Papunesia	Hatam	West Papuan	FALSE	FALSE		
hve	Absent				Possessive prefixes				Noun-Genitive				sanm1287	Huave (San Mateo del Mar)	16,2	-95,0	North America	Huavean	Huavean	FALSE	FALSE		
ijo	Absent				Possessive prefixes				Genitive-Noun				izon1238	Ijo (Kolokuma)	4,9	5,7	Africa	Ijoid	Ijoid	FALSE	FALSE		
res	Exists				Possessive prefixes				Genitive-Noun				resi1247	ResÃ­garo	-2,4	-71,5	South America	Inland Northern Arawakan	Arawakan	FALSE	FALSE		
prs	Absent				No possessive affixes				Noun-Genitive				west2369	Persian	32,0	54,0	Eurasia	Iranian	Indo-European	TRUE	TRUE		
oss	Exists				No possessive affixes				Genitive-Noun				osse1243	Ossetic	43,0	44,0	Eurasia	Iranian	Indo-European	FALSE	FALSE		
mau	Absent				Possessive prefixes				Genitive-Noun				maun1240	Maung	-11,9	133,5	Australia	Iwaidjan	Iwaidjan	TRUE	TRUE		
jpn	Absent				No possessive affixes				Genitive-Noun				nucl1643	Japanese	37,0	140,0	Eurasia	Japanese	Japanese	TRUE	TRUE		
juh	Absent				No possessive affixes				Genitive-Noun				juho1239	Ju|'hoan	-19,0	21,0	Africa	Ju-Kung	Kxa	FALSE	TRUE		
kro	Absent				No possessive affixes				Noun-Genitive				kron1241	Krongo	10,5	30,0	Africa	Kadugli	Kadu	TRUE	TRUE		
tha	Absent				No possessive affixes				Noun-Genitive				thai1261	Thai	16,0	101,0	Eurasia	Kam-Tai	Tai-Kadai	TRUE	TRUE		
kri	Absent				Possessive prefixes				Noun-Genitive				kari1255	Kipea	-10,0	-37,0	South America	Kariri	Kariri	FALSE	FALSE		
krk	Exists				Possessive prefixes				Genitive-Noun				karo1304	Karok	41,7	-123,0	North America	Karok	Karok	TRUE	TRUE		
geo	Absent				No possessive affixes				Genitive-Noun				nucl1302	Georgian	42,0	44,0	Eurasia	Kartvelian	Kartvelian	TRUE	TRUE		
aco	Exists				Possessive prefixes				Genitive-Noun				west2632	Acoma	34,9	-107,6	North America	Keresan	Keresan	TRUE	TRUE		
khs	Absent				No possessive affixes				Noun-Genitive				khas1269	Khasi	25,5	92,0	Eurasia	Khasian	Austro-Asiatic	FALSE	TRUE		
kio	Absent				Possessive prefixes				Genitive-Noun				kiow1266	Kiowa	37,0	-99,0	North America	Kiowa-Tanoan	Kiowa-Tanoan	TRUE	TRUE		
kim	Absent								Genitive-Noun				kima1246	Kimaghama	-8,0	138,5	Papunesia	Kolopom	Kolopom	FALSE	FALSE		
grb	Absent				No possessive affixes				Genitive-Noun				barc1235	Grebo	5,0	-8,0	Africa	Kru	Niger-Congo	TRUE	TRUE		
mei	Absent				Possessive prefixes				Genitive-Noun				mani1292	Meithei	24,8	94,0	Eurasia	Kuki-Chin	Sino-Tibetan	TRUE	TRUE		
knm	Absent				Possessive suffixes				Genitive-Noun				kuna1268	Kunama	14,5	37,0	Africa	Kunama	Kunama	FALSE	TRUE		
kut	Exists				Possessive suffixes				Noun-Genitive				kute1249	Kutenai	49,5	-116,0	North America	Kutenai	Kutenai	TRUE	TRUE		
ewe	Absent				Possessive suffixes				Genitive-Noun				ewee1241	Ewe	6,3	0,4	Africa	Kwa	Niger-Congo	FALSE	TRUE		
iau	Absent								Genitive-Noun				iauu1242	Iau	-3,2	137,5	Papunesia	Lakes Plain	Lakes Plain	FALSE	FALSE		
lav	Absent				Possessive prefixes				Genitive-Noun				lavu1241	Lavukaleve	-9,1	159,2	Papunesia	Lavukaleve	Solomons East Papuan	TRUE	TRUE		
lez	Absent				No possessive affixes				Genitive-Noun				lezg1247	Lezgian	41,7	47,8	Eurasia	Lezgic	Nakh-Daghestanian	TRUE	TRUE		
orh	Absent				No possessive affixes				Noun-Genitive				east2652	Oromo (Harar)	9,0	42,0	Africa	Lowland East Cushitic	Afro-Asiatic	TRUE	TRUE		
kob	Absent				Possessive prefixes				Genitive-Noun				kobo1249	Kobon	-5,2	144,3	Papunesia	Madang	Trans-New Guinea	FALSE	TRUE		
tau	Absent				Possessive prefixes				Genitive-Noun				tauy1241	Tauya	-5,8	145,3	Papunesia	Madang	Trans-New Guinea	FALSE	FALSE		
wsk	Absent				Possessive prefixes				Genitive-Noun				wask1241	Waskia	-4,5	146,0	Papunesia	Madang	Trans-New Guinea	FALSE	FALSE		
ame	Absent				Possessive suffixes				Genitive-Noun				amel1241	Amele	-5,3	145,6	Papunesia	Madang	Trans-New Guinea	TRUE	TRUE		
bel	Exists				Possessive prefixes				Genitive-Noun				belh1239	Belhare	27,0	87,3	Eurasia	Mahakiranti	Sino-Tibetan	FALSE	FALSE		
mne	Exists				Possessive prefixes				Genitive-Noun				nort2952	Maidu (Northeast)	40,0	-120,7	North America	Maiduan	Penutian	FALSE	FALSE		
ind	Absent				No possessive affixes				Noun-Genitive				indo1316	Indonesian	0,0	106,0	Papunesia	Malayo-Sumbawan	Austronesian	TRUE	TRUE		
myi	Absent				Possessive suffixes				No dominant order				mang1381	Mangarrayi	-14,7	133,5	Australia	Mangarrayi	Mangarrayi-Maran	TRUE	TRUE		
boa	Absent				Possessive prefixes								kuni1265	Boazi	-7,0	141,3	Papunesia	Marind	Anim	FALSE	FALSE		
wch	Exists				Possessive prefixes				Genitive-Noun				wich1264	WichÃ­	-22,5	-62,6	South America	Matacoan	Matacoan	TRUE	TRUE		
jak	Absent				Possessive prefixes				Noun-Genitive				popt1235	Jakaltek	15,7	-91,7	North America	Mayan	Mayan	TRUE	TRUE		
tzu	Exists				Possessive prefixes				Noun-Genitive				tzut1248	Tzutujil	14,7	-91,3	North America	Mayan	Mayan	FALSE	FALSE		
mss	Absent				Possessive suffixes				No dominant order				sout2985	Miwok (Southern Sierra)	37,5	-120,0	North America	Miwok	Penutian	FALSE	TRUE		
zqc	Absent				Possessive prefixes				Genitive-Noun				copa1236	Zoque (CopainalÃ¡)	17,0	-93,3	North America	Mixe-Zoque	Mixe-Zoque	TRUE	TRUE		
mxc	Absent				No possessive affixes				Noun-Genitive				sanm1295	Mixtec (Chalcatongo)	17,1	-97,6	North America	Mixtecan	Oto-Manguean	TRUE	TRUE		
kha	Absent				Possessive suffixes				Genitive-Noun				halh1238	Khalkha	47,0	105,0	Eurasia	Mongolic	Altaic	TRUE	TRUE		
koa	Exists				Possessive prefixes				Genitive-Noun				koas1236	Koasati	34,8	-85,2	North America	Muskogean	Muskogean	TRUE	TRUE		
ing	Absent				No possessive affixes				Genitive-Noun				ingu1240	Ingush	43,2	45,1	Eurasia	Nakh	Nakh-Daghestanian	FALSE	TRUE		
nca	Absent				No possessive affixes				Noun-Genitive				carn1240	Nicobarese (Car)	9,0	93,0	Eurasia	Nicobarese	Austro-Asiatic	FALSE	FALSE		
sah	Absent				No possessive affixes				Genitive-Noun				sahu1245	Sahu	1,2	127,5	Papunesia	North Halmaheran	West Papuan	FALSE	FALSE		
may	Absent				Possessive prefixes				No dominant order				maib1239	Maybrat	-1,3	132,5	Papunesia	North-Central Bird's Head	West Papuan	TRUE	TRUE		
chk	Absent				No possessive affixes				Genitive-Noun				chuk1273	Chukchi	67,0	-173,0	Eurasia	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	TRUE	TRUE		
ond	Absent				Possessive prefixes				No dominant order				onei1249	Oneida	43,0	-75,7	North America	Northern Iroquoian	Iroquoian	TRUE	TRUE		
uhi	Absent				No possessive affixes				Genitive-Noun				atam1239	Uradhi	-11,9	142,4	Australia	Northern Pama-Nyungan	Pama-Nyungan	FALSE	FALSE		
abk	Absent				Possessive prefixes				Genitive-Noun				abkh1244	Abkhaz	43,1	41,0	Eurasia	Northwest Caucasian	Northwest Caucasian	TRUE	TRUE		
nbd	Absent				Possessive prefixes				Genitive-Noun				kenu1236	Nubian (Dongolese)	18,3	30,8	Africa	Nubian	Eastern Sudanic	FALSE	TRUE		
mao	Absent				No possessive affixes				Noun-Genitive				maor1246	Maori	-40,0	176,0	Papunesia	Oceanic	Austronesian	FALSE	TRUE		
sam	Absent				No possessive affixes				Noun-Genitive				samo1305	Samoan	-13,9	-171,8	Papunesia	Oceanic	Austronesian	FALSE	FALSE		
dre	Absent				Possessive suffixes				Noun-Genitive				dehu1237	Drehu	-21,0	167,3	Papunesia	Oceanic	Austronesian	FALSE	TRUE		
fij	Absent				Possessive suffixes				Noun-Genitive				fiji1243	Fijian	-17,8	178,0	Papunesia	Oceanic	Austronesian	TRUE	TRUE		
poh	Absent				Possessive suffixes				No dominant order				pohn1238	Pohnpeian	6,9	158,3	Papunesia	Oceanic	Austronesian	FALSE	FALSE		
pms	Exists				Possessive suffixes				Noun-Genitive				paam1238	Paamese	-16,5	168,3	Papunesia	Oceanic	Austronesian	FALSE	TRUE		
yag	Absent				Possessive prefixes				Genitive-Noun				yagu1244	Yagua	-3,5	-72,0	South America	Peba-Yaguan	Peba-Yaguan	TRUE	TRUE		
kzy	Absent								Genitive-Noun				komi1268	Komi-Zyrian	65,0	55,0	Eurasia	Permic	Uralic	FALSE	FALSE		
fua	Absent				Possessive suffixes				Noun-Genitive				adam1253	Fulfulde (Adamawa)	9,2	13,5	Africa	Peul-Serer	Niger-Congo	FALSE	FALSE		
cax	Exists				Possessive prefixes				Genitive-Noun				asha1243	Campa (Axininca)	-12,0	-74,0	South America	Pre-Andine Arawakan	Arawakan	FALSE	FALSE		
qim	Absent				No possessive affixes				Genitive-Noun				imba1240	Quechua (Imbabura)	0,3	-78,0	South America	Quechuan	Quechuan	TRUE	TRUE		
awt	Absent				No possessive affixes				Genitive-Noun				awtu1239	Awtuw	-3,6	142,0	Papunesia	Ram	Sepik	FALSE	FALSE		
ram	Absent				Possessive prefixes				Genitive-Noun				rama1270	Rama	11,8	-83,8	North America	Rama	Chibchan	TRUE	TRUE		
fre	Absent				No possessive affixes				Noun-Genitive				stan1290	French	48,0	2,0	Eurasia	Romance	Indo-European	TRUE	TRUE		
spa	Absent				No possessive affixes				Noun-Genitive				stan1288	Spanish	40,0	-4,0	Eurasia	Romance	Indo-European	TRUE	TRUE		
nez	Exists				Possessive prefixes				Genitive-Noun				nezp1238	Nez Perce	46,0	-116,0	North America	Sahaptian	Penutian	FALSE	TRUE		
sal	Exists				Prefixes and suffixes				Noun-Genitive				sali1253	Salinan	36,0	-121,0	North America	Salinan	Salinan	FALSE	FALSE		
amh	Absent				Possessive suffixes				Genitive-Noun				amha1245	Amharic	10,0	38,0	Africa	Semitic	Afro-Asiatic	FALSE	FALSE		
aeg	Absent				Possessive suffixes				Noun-Genitive				egyp1253	Arabic (Egyptian)	30,0	31,0	Africa	Semitic	Afro-Asiatic	TRUE	TRUE		
heb	Absent				Possessive suffixes				Noun-Genitive				hebr1245	Hebrew (Modern)	31,5	34,8	Eurasia	Semitic	Afro-Asiatic	TRUE	TRUE		
snt	Absent				No possessive affixes				Genitive-Noun				nucl1632	Sentani	-2,6	140,6	Papunesia	Sentani	Sentani	FALSE	TRUE		
sup	Absent				No possessive affixes				Genitive-Noun				supy1237	Supyire	11,5	-5,6	Africa	Senufo	Niger-Congo	TRUE	TRUE		
ala	Absent				No possessive affixes				Genitive-Noun				alam1246	Alamblak	-4,7	143,3	Papunesia	Sepik Hill	Sepik	TRUE	TRUE		
siu	Absent				Possessive suffixes				No dominant order				sius1254	Siuslaw	44,0	-124,0	North America	Siuslawan	Oregon Coast	FALSE	FALSE		
kch	Absent				No possessive affixes				Genitive-Noun				koyr1240	Koyra Chiini	17,0	-3,0	Africa	Songhay	Songhay	FALSE	FALSE		
ngi	Absent				No possessive affixes				Genitive-Noun				wang1291	Ngiyambaa	-31,8	145,5	Australia	Southeastern Pama-Nyungan	Pama-Nyungan	TRUE	TRUE		
wem	Absent				Possessive suffixes				Genitive-Noun				west2443	Wembawemba	-35,3	144,0	Australia	Southeastern Pama-Nyungan	Pama-Nyungan	FALSE	FALSE		
knd	Absent				No possessive affixes				Genitive-Noun				nucl1305	Kannada	14,0	76,0	Eurasia	Southern Dravidian	Dravidian	TRUE	TRUE		
sul	Absent				Possessive prefixes				No dominant order				sulk1246	Sulka	-5,1	151,9	Papunesia	Sulka	Sulka	FALSE	FALSE		
tkl	Absent				Possessive suffixes				Genitive-Noun				take1257	Takelma	42,5	-123,0	North America	Takelma	Takelma	FALSE	FALSE		
yes	Absent												yess1239	Yessan-Mayo	-4,2	142,6	Papunesia	Tama Sepik	Sepik	FALSE	FALSE		
tiw	Exists				No possessive affixes				Genitive-Noun				tiwi1244	Tiwi	-11,5	131,0	Australia	Tiwian	Tiwian	TRUE	TRUE		
tli	Absent				Possessive prefixes				Genitive-Noun				tlin1245	Tlingit	59,0	-135,0	North America	Tlingit	Na-Dene	FALSE	TRUE		
ton	Absent				Possessive prefixes				Genitive-Noun				tonk1249	Tonkawa	30,3	-96,8	North America	Tonkawa	Tonkawa	FALSE	FALSE		
tru	Absent				Prefixes and suffixes				Genitive-Noun				trum1247	Trumai	-11,9	-53,6	South America	Trumai	Trumai	FALSE	TRUE		
brs	Exists				No possessive affixes				Genitive-Noun				bara1380	Barasano	-0,2	-70,7	South America	Tucanoan	Tucanoan	TRUE	TRUE		
eve	Exists				Possessive suffixes				Genitive-Noun				even1259	Evenki	56,0	125,0	Eurasia	Tungusic	Altaic	FALSE	TRUE		
tun	Exists				Possessive prefixes				Genitive-Noun				tuni1252	Tunica	32,7	-91,0	North America	Tunica	Tunica	FALSE	TRUE		
gua	Absent				Possessive prefixes				Genitive-Noun				para1311	GuaranÃ­	-26,0	-56,0	South America	Tupi-GuaranÃ­	Tupian	TRUE	TRUE		
tur	Absent				Possessive suffixes				Genitive-Noun				nucl1301	Turkish	39,0	35,0	Eurasia	Turkic	Altaic	TRUE	TRUE		
tuv	Absent				Possessive suffixes				Genitive-Noun				tuvi1240	Tuvan	52,0	95,0	Eurasia	Turkic	Altaic	FALSE	FALSE		
san	Absent				No possessive affixes				Noun-Genitive				sang1328	Sango	5,0	18,0	Africa	Ubangi	Niger-Congo	TRUE	TRUE		
hun	Absent				Possessive suffixes				Genitive-Noun				hung1274	Hungarian	47,0	20,0	Eurasia	Ugric	Uralic	FALSE	TRUE		
vie	Absent				No possessive affixes				Noun-Genitive				viet1252	Vietnamese	10,5	106,5	Eurasia	Viet-Muong	Austro-Asiatic	TRUE	TRUE		
wap	Exists				Possessive prefixes				Genitive-Noun				wapp1239	Wappo	38,5	-122,5	North America	Wappo	Wappo-Yukian	FALSE	FALSE		
wra	Absent				Possessive prefixes				Genitive-Noun				wara1303	Warao	9,3	-61,7	South America	Warao	Warao	TRUE	TRUE		
wry	Absent												wara1290	Waray (in Australia)	-13,2	131,3	Australia	Warayic	Gunwinyguan	FALSE	FALSE		
wrn	Absent				Possessive prefixes				Noun-Genitive				wand1263	Warndarang	-14,4	135,6	Australia	Warndarang	Mangarrayi-Maran	FALSE	FALSE		
was	Absent				Possessive prefixes				Genitive-Noun				wash1253	Washo	39,3	-120,0	North America	Washo	Washo	FALSE	FALSE		
knk	Absent				No possessive affixes				Noun-Genitive				dera1248	Kanakuru	10,0	12,0	Africa	West Chadic	Afro-Asiatic	FALSE	FALSE		
hau	Absent				Possessive suffixes				Noun-Genitive				haus1257	Hausa	12,0	7,0	Africa	West Chadic	Afro-Asiatic	TRUE	TRUE		
djp	Absent				No possessive affixes				No dominant order				dhuw1249	Djapu	-12,7	136,0	Australia	Western Pama-Nyungan	Pama-Nyungan	FALSE	FALSE		
mrt	Absent				Possessive suffixes				No dominant order				mart1255	Martuthunira	-20,8	116,5	Australia	Western Pama-Nyungan	Pama-Nyungan	TRUE	TRUE		
knr	Absent				Possessive suffixes				Noun-Genitive				cent2050	Kanuri	12,0	13,0	Africa	Western Saharan	Saharan	FALSE	TRUE		
dum	Absent								Genitive-Noun				vani1248	Dumo	-2,7	141,3	Papunesia	Western Skou	Skou	FALSE	FALSE		
win	Exists				No possessive affixes				Genitive-Noun				wint1259	Wintu	41,0	-122,5	North America	Wintuan	Penutian	FALSE	FALSE		
ung	Absent				Prefixes and suffixes				No dominant order	 			ngar1284	Ungarinjin	-16,3	126,0	Australia	Worrorran	Worrorran	FALSE	TRUE		
snm	Absent				No possessive affixes				Genitive-Noun				sanu1240	Sanuma	4,5	-64,7	South America	Yanomam	Yanomam	TRUE	TRUE		
ket	Absent				Possessive prefixes				Genitive-Noun				kett1243	Ket	64,0	87,0	Eurasia	Yeniseian	Yeniseian	FALSE	TRUE		
yuc	Absent				Possessive prefixes				Genitive-Noun				yuch1247	Yuchi	35,8	-86,8	North America	Yuchi	Yuchi	FALSE	TRUE		
yko	Absent				Possessive suffixes				Genitive-Noun				sout2750	Yukaghir (Kolyma)	65,8	150,8	Eurasia	Yukaghir	Yukaghir	FALSE	TRUE		
mar	Exists				Possessive prefixes				Genitive-Noun				mari1440	Maricopa	33,2	-113,2	North America	Yuman	Hokan	TRUE	TRUE		
die	Exists				Possessive prefixes				Genitive-Noun				kumi1248	DiegueÃ±o (Mesa Grande)	32,7	-116,2	North America	Yuman	Hokan	FALSE	FALSE		
yur	Absent				Possessive prefixes				Genitive-Noun				yuro1248	Yurok	41,3	-124,0	North America	Yurok	Algic	FALSE	TRUE		
