"wals.code"	"obligatory.possession"	"OP.source"	"OP.pages"	"OP.comments"	"affix.position"	"AP.source"	"AP.pages"	"AP.comments"	"GN.order"	"GN.source"	"GN.pages"	"GN.comments"	"glottocode"	"name"	"latitude"	"longitude"	"macroarea"	"genus"	"family"	"sample.100"	"sample.200"	"NAME"	"X"
"69"	"knu"	"Exists"	"Müller (1954)"	"22"	"Talks about possibly inalienable-alienable possession, possessio ad intra and possessio ad extra. Not sure if this could mean obligatory too, but in the wordlist no nouns appear with the possessive glued to it"	"Possessive suffixes"	"Müller (1954)"	"22"	""	"Genitive-Noun"	"Müller (1954)"	"18"	""	"rapo1238"	"Konua"	-5.8	154.8	"Papunesia"	"West Bougainville"	"West Bougainville"	FALSE	FALSE	"Alejandro"	""
"70"	"zul"	"Absent"	"Poulos & Msimang (1998)"	""	"See also Doke (1927)"	"No possessive affixes"	"Poulos & Msimang (1998)"	"144"	""	"Noun-Genitive"	"Ziervogel et al. (1981)"	"118, 124-125, 128-129"	""	"zulu1248"	"Zulu"	-30	30	"Africa"	"Bantoid"	"Niger-Congo"	TRUE	TRUE	"Alba"	""
"71"	"syu"	"Absent"	"Irwin (1974)"	""	""	"Possessive suffixes"	"Irwin (1974)"	"28-29"	""	"No dominant order"	"Irwin 1974"	"28-29"	""	"salt1242"	"Salt-Yui"	-6.3	145	"Papunesia"	"Chimbu"	"Trans-New Guinea"	FALSE	FALSE	"Alba"	""
"72"	"diz"	"Absent"	"Claudi & Serzisko (1985)"	"150"	"Debate on -kn being a locative or genitive (as Beachy, 2005: 71 states). If the second, there can be inalienability in the language, observed in firsts studies on the language by Allan (1976: 381)"	"Prefixes and suffixes"	"Beachy (2005)"	"56, 65"	"Dizin mainly marks possession through a set of separate possessive pronouns (Beachy, 2005: 56). However, both prefixes and suffixes can be found."	"No dominant order"	"Beachy (2005)"	"56, 71"	"There are two distinct constructions: Gen-N (with a separate set of possessor pronouns preceding the N) and N-Gen (possession marked by case, which is suffixed)"	"dizi1235"	"Dizi"	6.2	36.5	"Africa"	"Dizoid"	"Afro-Asiatic"	FALSE	FALSE	"Alba"	""
"73"	"tag"	"Absent"	"Kroeger (1993)"	""	"See also Schachter & Otanes (1972); Himmelmann (1999)"	"No possessive affixes"	"Schachter & Otanes (1972)"	"134-138"	""	"Noun-Genitive"	"Schachter & Otanes (1972)"	"136"	""	"taga1270"	"Tagalog"	15	121	"Papunesia"	"Greater Central Philippine"	"Austronesian"	TRUE	TRUE	"Alba"	""
"74"	"arp"	"Absent"	"Conrad and Wogiga (1991)"	"57"	""	"No possessive affixes"	"Conrad and Wogiga (1991)"	"65, 59"	"There is a suffix -i, but it only affects the pronouns. There is a possessive marker -i in nouns, but it's a clitic."	"No dominant order"	"Conrad and Wogiga (1991)"	"57"	""	"buki1249"	"Arapesh (Mountain)"	-3.5	143.2	"Papunesia"	"Kombio-Arapesh"	"Torricelli"	TRUE	TRUE	"Alba"	""
"75"	"kor"	"Absent"	"Chang (1996)"	""	"See also Sohn (1994)"	"Possessive suffixes"	"Sohn (1994)"	"174"	""	"Genitive-Noun"	"Sohn (1999)"	"265, 293"	"See also Ramstedt (1968: 42)"	"kore1280"	"Korean"	37.5	128	"Eurasia"	"Korean"	"Korean"	TRUE	TRUE	"Alba"	""
"76"	"lug"	"Absent"	"Crazzolara (1960)"	""	""	"No possessive affixes"	"Crazzolara (1960)"	"20"	""	"Genitive-Noun"	"Crazzolara (1960)"	"20-21"	"See also Barr (1965: 59-60)            "	"lugb1240"	"Lugbara"	3.1	30.9	"Africa"	"Moru-Ma'di"	"Central Sudanic"	FALSE	FALSE	"Alba"	""
"77"	"nim"	"Absent"	"Anceaux (1965)"	""	"Nominal morphology is unelaborated in the grammar, but the only nominal inflection is (non-obligatory) possession in kinship terms"	"Possessive prefixes"	"Anceaux (1965)"	"169"	""	"No dominant order"	"Foley (2018)"	"448"	"There are three distinct constructions: one Gen-N (possessive prefixation) and two N-Gen (with the postposition -de, which marks nominal possession; and a possessive marker -mbe following pronouns)"	"nucl1633"	"Nimboran"	-2.5	140.2	"Papunesia"	"Nimboran"	"Nimboran"	FALSE	FALSE	"Alba"	""
"78"	"rap"	"Absent"	"Du Feu (1996)"	""	""	"No possessive affixes"	"Kieviet (2017)"	"281"	"Possessive constructions in Rapa Nui are defined by the use of possessive prepositions o and 'a, depending on the semantic relationship between the possessor and the possessee."	"Noun-Genitive"	"Chapin (1978)"	"150"	""	"rapa1244"	"Rapanui"	-27.1	-109.4	"Papunesia"	"Oceanic"	"Austronesian"	TRUE	TRUE	"Alba"	""
